strategy,family,ticker,start_date,end_date,initial_cash_brl,final_equity_brl,final_profit_brl,final_return_pct,completed_trades,max_trade_gain_pct,max_trade_loss_pct
donchian_breakout_20_10,rompimento,BRAP4,2000-01-03,2026-09-10,1000.0,24382.7388,23382.7388,2338.2739,92,151.5663,-17.1779
donchian_breakout_20_10,rompimento,CMIG4,2000-01-03,2026-09-10,1000.0,189.8906,-810.1094,-81.0109,96,63.1336,-98.2
donchian_breakout_20_10,rompimento,CPFE3,2000-01-03,2026-09-10,1000.0,399.1763,-600.8237,-60.0824,83,88.3118,-43.7956
donchian_breakout_20_10,rompimento,CPLE3,2000-01-03,2026-09-10,1000.0,7334.1298,6334.1298,633.413,96,49.3586,-16.092
donchian_breakout_20_10,rompimento,CSMG3,2006-02-08,2026-09-10,1000.0,10542.1991,9542.1991,954.2199,65,87.8853,-14.9277
donchian_breakout_20_10,rompimento,CSNA3,2000-01-03,2026-09-10,1000.0,54689.1607,53689.1607,5368.9161,99,264.9123,-33.843
donchian_breakout_20_10,rompimento,CYRE3,2000-01-03,2026-09-10,1000.0,14082.2825,13082.2825,1308.2283,96,160.4918,-20.4834
donchian_breakout_20_10,rompimento,EGIE3,2002-03-01,2026-09-10,1000.0,689.2198,-310.7802,-31.078,95,45.4546,-29.0291
donchian_breakout_20_10,rompimento,ENEV3,2007-12-14,2026-09-10,1000.0,1743.5756,743.5756,74.3576,58,110.4209,-41.3333
donchian_breakout_20_10,rompimento,ENGI11,2009-11-03,2026-09-10,1000.0,1068.405,68.405,6.8405,64,33.971,-17.0909
donchian_breakout_20_10,rompimento,EQTL3,2008-04-07,2026-09-10,1000.0,2339.5375,1339.5375,133.9538,64,27.0192,-29.7859
donchian_breakout_20_10,rompimento,GGBR4,2000-01-03,2026-09-10,1000.0,3491.2845,2491.2845,249.1284,97,53.0492,-18.2609
donchian_breakout_20_10,rompimento,GOAU4,2000-01-03,2026-09-10,1000.0,18542.0872,17542.0872,1754.2087,100,196.6776,-77.8505
donchian_breakout_20_10,rompimento,HYPE3,2008-04-18,2026-09-10,1000.0,3098.3851,2098.3851,209.8385,64,39.7193,-23.8967
donchian_breakout_20_10,rompimento,ITSA4,2000-01-03,2026-09-10,1000.0,3534.5102,2534.5102,253.451,100,22.4771,-19.7861
donchian_breakout_20_10,rompimento,ITUB4,2000-12-21,2026-09-10,1000.0,2147.1835,1147.1835,114.7184,106,22.8689,-13.7314
donchian_breakout_20_10,rompimento,KLBN11,2014-01-23,2026-09-10,1000.0,1392.8794,392.8794,39.2879,44,27.2606,-9.5813
donchian_breakout_20_10,rompimento,LREN3,2000-01-04,2026-09-10,1000.0,1098.487,98.487,9.8487,84,36.6188,-20.7248
donchian_breakout_20_10,rompimento,MGLU3,2011-05-02,2026-09-10,1000.0,41654.0963,40654.0963,4065.4096,49,136.2543,-19.2308
donchian_breakout_20_10,rompimento,MULT3,2007-07-27,2026-09-10,1000.0,681.263,-318.737,-31.8737,74,30.4337,-12.7701
donchian_breakout_20_10,rompimento,PETR4,2000-01-03,2026-09-10,1000.0,51285.5495,50285.5495,5028.5549,94,73.0489,-13.7346
donchian_breakout_20_10,rompimento,PSSA3,2004-11-22,2026-09-10,1000.0,3118.1893,2118.1893,211.8189,88,39.8517,-16.6038
donchian_breakout_20_10,rompimento,RADL3,2000-01-06,2026-09-10,1000.0,338702.717,337702.717,33770.2717,65,1194.0769,-14.7619
donchian_breakout_20_10,rompimento,RAIL3,2015-04-02,2026-09-10,1000.0,767.5297,-232.4703,-23.247,45,42.268,-21.3483
donchian_breakout_20_10,rompimento,RENT3,2005-05-23,2026-09-10,1000.0,4272.7603,3272.7603,327.276,85,186.9128,-17.5676
donchian_breakout_20_10,rompimento,SANB11,2009-10-07,2026-09-10,1000.0,949.148,-50.852,-5.0852,65,40.508,-14.0159
donchian_breakout_20_10,rompimento,SBSP3,2000-01-03,2026-09-10,1000.0,2168.2893,1168.2893,116.8289,99,39.2233,-18.7306
donchian_breakout_20_10,rompimento,SMTO3,2007-02-12,2026-09-10,1000.0,3061.849,2061.849,206.1849,69,64.0134,-25.9393
donchian_breakout_20_10,rompimento,SUZB3,2004-08-05,2026-09-10,1000.0,280.2601,-719.7399,-71.974,35,93.7079,-85.7143
donchian_breakout_20_10,rompimento,TOTS3,2006-03-09,2026-09-10,1000.0,2026.4672,1026.4672,102.6467,73,71.9109,-16.9889
donchian_breakout_20_10,rompimento,UGPA3,2002-12-11,2026-09-10,1000.0,4895.2325,3895.2325,389.5233,54,53.923,-12.9712
donchian_breakout_20_10,rompimento,USIM5,2000-01-03,2026-09-10,1000.0,96778.3297,95778.3297,9577.833,90,106.5868,-24.7086
donchian_breakout_20_10,rompimento,VALE3,2000-01-03,2026-09-10,1000.0,5791.8065,4791.8065,479.1806,102,47.6614,-20.1566
donchian_breakout_20_10,rompimento,WEGE3,2000-01-03,2026-09-10,1000.0,46601.7695,45601.7695,4560.1769,79,161.1112,-11.5046
donchian_breakout_20_10_trend100,rompimento,ABEV3,2000-01-05,2026-09-10,1000.0,3573.5457,2573.5457,257.3546,104,50.505,-10.8848
donchian_breakout_20_10_trend100,rompimento,B3SA3,2007-10-26,2026-09-10,1000.0,1544.4375,544.4375,54.4437,62,53.4722,-17.586
donchian_breakout_20_10_trend100,rompimento,BBAS3,2000-01-03,2026-09-10,1000.0,10296.0431,9296.0431,929.6043,91,47.7,-18.7692
donchian_breakout_20_10_trend100,rompimento,BBDC4,2008-01-02,2026-09-10,1000.0,771.0788,-228.9212,-22.8921,63,26.6635,-23.6717
